BridgeFailureLikelihood,LRPName,Latitude,Longitude,NumberOfABridges,NumberOfBBridges,NumberOfCBridges,NumberOfDBridges,TotalEconomicVulnerability,TotalSocialVulnerability,TotalTraffic,TrafficEconomicVulnerability,TrafficSocialVulnerability,chainage,road
1,LRPSb,24.00643377,89.25054488,1,0,0,0,1492.5,8812.75,10305.25,1492.5,8812.75,7.489,N604
0.999487354,LRP046a,23.53405027,89.67516002,1,0,0,0,7823.487261,39260.86274,45958.5,7827.5,39281,47.277,N7
0.999487354,LRP086a,23.5072655,89.34226897,1,0,0,0,8310.737346,33303.41837,41635.5,8315,33320.5,86.892,N7
0.999487354,LRP129d,23.32140425,89.14620905,1,0,0,0,11906.3931,35415.83489,46612,11912.5,35434,130.182,N7
0.999487354,LRP177b,23.04880937,89.3844521,1,0,0,0,12276.20342,39587.19536,51890,12282.5,39607.5,177.61,N7
0.999487354,LRP226a,22.71759763,89.64401711,1,0,0,0,12276.20342,39587.19536,51890,12282.5,39607.5,225.989,N7
0.999487354,LRP248c,22.53659777,89.59011647,0,0,0,1,11376.6648,32255.95562,43655,11382.5,32272.5,248.844,N7
0.992214185,LRP041a,23.46097533,89.41243123,1,0,0,0,3147.799502,20282.84237,23614.5,3172.5,20442,40.969,N702
0.992214185,LRP043c,23.48431578,89.4188517,1,0,0,0,3147.799502,20282.84237,23614.5,3172.5,20442,43.603,N702
1,LRPSf,23.54352893,89.18368081,1,0,0,0,2322.5,13052,15374.5,2322.5,13052,1.278,N703
0.999949368,LRP048a,23.91854163,89.1050705,1,0,0,0,16121.68369,28728.54535,44852.5,16122.5,28730,47.859,N704
0.999949368,LRP081b,24.11282831,89.1182571,0,0,1,0,16121.68369,28728.54535,44852.5,16122.5,28730,81.128,N704
1,LRP005a,24.11746666,89.08595086,0,1,0,0,2282.5,4025.5,6308,2282.5,4025.5,5.964,N705
1,LRP033a,23.0516021,88.92901678,0,0,1,0,9770,22631,32401,9770,22631,33.296,N706
1,LRP003h,23.16433595,89.21746242,1,0,0,0,12112.5,35558,47670.5,12112.5,35558,3.149,N707
1,LRPSa,23.18055523,89.19403785,1,0,0,0,1885,13174,15059,1885,13174,3.574,N708
1,LRPSd,23.04138471,88.89751462,1,0,0,0,12460,20124.5,32584.5,12460,20124.5,1.27,N711
0.990146078,LRP028c,23.51426612,90.27826026,1,0,0,0,5084.400111,60146.91858,65800.5,5135,60745.5,28.954,N8
