"PathName";"NumberVehicles";"SimulationTime";"AverageTruckWaitingTime";"AverageBusWaitingTime";"AveragePassengerVehicleWaitingTime";"TruckAverageNumberWaiting";"BusAverageNumberWaiting";"PassengerVehicleAverageNumberWaiting"
"bridge_N1_LRP461H_LRP461I";0;6.0;0.000145422535189788;0.000115715376614938;7.39336980535428e-05;0.00145418133797426;0.00128791921210133;0.00586711252761477
"N1_LRP461I_LRP462A";1;6.0;0.000145422535189788;0.000115715376614938;7.39336980535428e-05;0.0187213513376538;0.0179401414343238;0.0879387791942828
"bridge_N1_LRP462A_LRP462B";1;6.0;0.000145422535189788;0.000115715376614939;7.39336980535428e-05;0.00104418035988733;0.00093334202810554;0.00432419586095034
"N1_LRP462B_LRP463A";1;6.0;0.000145422535189788;0.000115715376614939;7.3933698053543e-05;0.0362498053598876;0.0335961680382217;0.176881487152514
"bridge_N1_LRP463A_LRP463B";0;6.0;0.000145422535189788;0.000115715376614939;7.3933698053543e-05;0.00116181924877612;0.00101446664933232;0.00483291524460657
"N1_LRP463B_LRP465A";1;6.0;0.000145422535189788;0.000115715376614939;7.39336980535398e-05;0.0682607081376648;0.0633205777604431;0.326564888460454
"bridge_N1_LRP465A_LRP465B";0;6.0;0.000145422535189788;0.000115715376614939;7.39336980535398e-05;0.00228765258210991;0.00205988331599945;0.0101497596282668
"N1_LRP465B_LRP466B";3;6.0;0.000145422535189788;0.000115715376614939;7.39336980535403e-05;0.0622956386932203;0.0577815847048876;0.294418490120554
"bridge_N1_LRP466B_LRP466C";0;6.0;0.000145422535189788;0.000115715376614939;7.39336980535403e-05;0.00230709702655378;0.00207793887155439;0.0097841816681256
"RoadPath2";0;6.0;0.00405541666666664;0.00405541666666664;0.00405541666666664;0.00946263888888884;0.00878673611111106;0.0432577777777775
"RoadPath1";3;7.0;0.000145422535189788;0.000115715376614987;7.39336980535729e-05;3.10992011066358;2.19464157145108;2.16646877434928
"bridge_N1_LRP008A_LRP008B";1;7.0;0.000145422535189787;0.000115715376614975;7.39336980535782e-05;0.193503879107507;0.231670840905775;0.264966294120129
"N1_LRP008B_LRP012A";7;7.0;0.000145422535189787;0.0331684640051949;0.029470033502035;1.49258046222932;1.78731653001299;2.04377630106262
"bridge_N1_LRP012A_LRP012B";0;7.0;0.000145422535189787;0.000115715376614976;7.39336980535861e-05;0.015127092554863;0.00889484458121097;0.0104615490052847
"N1_LRP012B_LRP016B";6;7.0;0.000145422535189788;0.000115715376614978;7.39336980535835e-05;2.02092943891418;1.2296945920274;1.53711565399525
"bridge_N1_LRP016B_LRP016C";0;7.0;0.000145422535189787;0.000115715376614972;7.39336980535776e-05;0.13703407318828;0.106634970354098;0.0971516700485952
"N1_LRP016C_LRP017A";2;7.0;0.000145422535189787;0.000115715376614972;7.39336980535767e-05;0.361021528408492;0.282643184639809;0.258387701180176
"bridge_N1_LRP017A_LRP017B";0;7.0;0.000145422535189787;0.000115715376614972;7.39336980535767e-05;0.0229517806832462;0.0171513096398071;0.0145418819012487
"N1_LRP017B_LRP017C";1;7.0;0.000145422535189787;0.000115715376614973;7.39336980535767e-05;0.293904514380982;0.230676309639809;0.21051688190125
"bridge_N1_LRP017C_LRP017D";0;7.0;0.000145422535189787;0.000115715376614973;7.39336980535767e-05;0.0283515119877471;0.0214856846398104;0.0185200069012519
"N1_LRP017D_LRP018A";1;7.0;0.000145422535189787;0.000115715376614973;7.39336980535764e-05;0.519086690559172;0.409154236516995;0.374613042615536
"bridge_N1_LRP018A_LRP018B";0;7.0;0.000145422535189787;0.000115715376614973;7.39336980535764e-05;0.0409484167496495;0.0313013860145778;0.0276607211869643
"N1_LRP018B_LRP020B";7;7.0;0.00630229220940565;0.0181768612532649;0.0215466864436313;1.97825932446696;1.53539053272169;1.42919461851487
"bridge_N1_LRP020B_LRP020C";1;7.0;0.000145422535189787;0.000115715376614976;7.39336980535854e-05;0.0711392478271154;0.039405327317094;0.0323504916540184
"N1_LRP020C_LRP022A";4;7.0;0.000145422535189788;0.000115715376614975;7.39336980535869e-05;0.943075134156725;0.533384851126613;0.441703753825232
"bridge_N1_LRP022A_LRP022B";0;7.0;0.000145422535189788;0.000115715376614975;7.39336980535869e-05;0.165828772635074;0.093392470174231;0.0762429391688548
"N1_LRP022B_LRP022C";0;7.0;0.000145422535189788;0.000115715376614976;7.39336980535869e-05;0.190764486920796;0.107522708269474;0.0878796058355256
"bridge_N1_LRP022C_LRP022D";4;7.0;0.0203088032302736;0.0205253630544274;0.0177348043356537;1.12277798216268;0.624611784720332;0.49727578738897
"N1_LRP022D_LRP028A";5;7.0;0.000145422535189788;0.000115715376614983;7.39336980535845e-05;1.93585687819619;1.11674656665812;0.954819970931214
"bridge_N1_LRP028A_LRP028B";2;7.0;0.000145422535189787;0.000115715376614976;7.39336980535823e-05;0.334065426785548;0.248643747278899;0.188384628863506
"N1_LRP028B_LRP029A";2;7.0;0.000145422535189787;0.000115715376614975;7.39336980535823e-05;0.366065645141442;0.271033199989448;0.207288081244455
"bridge_N1_LRP029A_LRP029B";0;7.0;0.000145422535189787;0.000115715376614975;7.39336980535823e-05;0.0247715710927023;0.0178253767790681;0.0131437360063604
"N1_LRP029B_LRP030A";1;7.0;0.000145422535189787;0.000115715376614973;7.39336980535825e-05;0.514007814241168;0.38179662677907;0.293343825292076
"bridge_N1_LRP030A_LRP030B";1;7.0;0.000145422535189787;0.000115715376614973;7.39336980535825e-05;0.0224077309686307;0.016109140169473;0.0118706110063622
"N1_LRP030B_LRP030C";0;7.0;0.000145422535189787;0.000115715376614974;7.39336980535803e-05;0.269032046444821;0.198457715058601;0.153424212196838
