"id";"road";"chainage";"lrp";"lat";"lon";"gap";"type";"name"
1206;"N1";434.668;"LRP439";21.0735271;92.2226104;"";"KmPost";"Info.Missing"
1207;"N1";434.778;"LRP439a";21.0728327;92.2232216;"";"Culvert";"Box culvert"
1208;"N1";434.96;"LRP439b";21.071666;92.2242216;"";"Culvert";"Box culvert"
1209;"N1";435.272;"LRP439c";21.0691104;92.2246382;"";"Culvert";"Box culvert"
1210;"N1";435.522;"LRP439d";21.0668882;92.2246104;"";"Culvert";"Box culvert"
1211;"N1";435.668;"LRP440";21.0655833;92.2245549;"";"KmPost";"Km post missing"
1212;"N1";435.746;"LRP440a";21.0650556;92.2245271;"";"Culvert";"Box culvert"
1213;"N1";436.007;"LRP440b";21.063;92.2254993;"";"Culvert";"Box culvert"
1214;"N1";436.195;"LRP440c";21.0615556;92.2262771;"";"Culvert";"Box culvert"
1215;"N1";436.399;"LRP440d";21.0597778;92.2263882;"BS";"Bridge";"Bridge start"
1216;"N1";436.414;"LRP440e";21.0596667;92.2263882;"BE";"Bridge";"Bridge end"
1217;"N1";436.756;"LRP441";21.0565833;92.2266104;"";"KmPost";"Info.Missing"
1218;"N1";436.94;"LRP441a";21.0549722;92.2268049;"";"Culvert";"Box culvert"
1219;"N1";437.588;"LRP441b";21.0513611;92.2302493;"BS";"Bridge";"Bridge start"
1220;"N1";437.626;"LRP441c";21.0513611;92.2305827;"BE";"Bridge";"Bridge end"
1221;"N1";437.751;"LRP442";21.0513056;92.2317493;"";"KmPost";"Teknaf 24 km"
1222;"N1";437.815;"LRP442a";21.0512778;92.2323327;"";"Culvert";"Box culvert"
1223;"N1";438.004;"LRP442b";21.0507222;92.2338608;"";"Culvert";"Box culvert"
1224;"N1";438.332;"LRP442c";21.0479441;92.2346386;"";"Culvert";"Box culvert"
1225;"N1";438.713;"LRP442d";21.0446941;92.2356941;"";"Culvert";"Box culvert"
1226;"N1";438.8;"LRP443";21.0439163;92.2359441;"";"KmPost";"Teknaf 23 km"
1227;"N1";439.197;"LRP443a";21.0407497;92.2374997;"";"Culvert";"Box culvert"
1228;"N1";439.737;"LRP443b";21.0363608;92.2396941;"BS";"Bridge";"Bridge start"
1229;"N1";439.778;"LRP443c";21.0360552;92.2398608;"BE";"Bridge";"Bridge end"
1230;"N1";440.049;"LRP444";21.0338608;92.2407774;"";"KmPost";"Teknaf 21 km"
1231;"N1";440.252;"LRP444a";21.0321104;92.241083;"";"Culvert";"Box culvert"
1232;"N1";440.485;"LRP444b";21.0300549;92.2413608;"";"Culvert";"Box culvert"
1233;"N1";440.839;"LRP444c";21.0269438;92.2416941;"";"Culvert";"Box culvert"
1234;"N1";441.048;"LRP445";21.0249993;92.2418608;"";"KmPost";"Km post missing"
