road,km,type,lrp,name,length,category,structureNr,roadName,chainage,width,constructionYear,spans,zone,circle,division,sub-division,lat,lon,EstimatedLoc
N1,389.724,Slab Culvert,LRP386c,DALA-2 SLAB CULVERT,1.5,A,100999,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,389.724,8.2,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.3793128,92.07049139,interpolate
N1,389.899,Slab Culvert,LRP386d,DALA-3 SLAB CULVERT,2.2,C,100998,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,389.899,4,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.37785109,92.07035482,interpolate
N1,390.047,Slab Culvert,LRP386e,DALA SLAB CULVERT,1.5,A,100995,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,390.047,7.2,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.37688823,92.07112233,interpolate
N1,390.142,Slab Culvert,LRP386f,DALA SLAB CULVERT,3,A,100992,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,390.142,7.2,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.37627929,92.07174583,interpolate
N1,390.356,Slab Culvert,LRP386g,DHALLA SLAB CULVERT,2.4,C,100988,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,390.356,4,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.37508506,92.0730283,interpolate
N1,390.506,Slab Culvert,LRP387a,PANAR CHORI SLAB CULVERT,1.3,A,100986,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,390.506,8.2,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.37453724,92.07406151,interpolate
N1,390.595,Slab Culvert,LRP387b,PANAR HORA SLAB CULVERT,1.3,A,100984,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,390.595,8.2,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.37438002,92.07486174,interpolate
N1,390.814,Slab Culvert,LRP387c,PANCR CHAR SLAB CULVERT,1.3,C,100981,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,390.814,8.2,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.37379576,92.07662366,interpolate
N1,391.031,Slab Culvert,LRP387d,TULA BAGAN SLAB CULVERT,1.3,C,100978,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,391.031,8.2,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.37241685,92.0778931,interpolate
N1,391.255,Box Culvert,LRP387e,TULA BAGAN BOX CULVERT,1.3,A,100976,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,391.255,9.2,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.37069027,92.07906728,interpolate
N1,391.373,Slab Culvert,LRP387f,TELA BAGAN SLAB CULVERT,1.3,A,101053,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,391.373,8.2,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.36974364,92.07964348,interpolate
N1,391.521,Slab Culvert,LRP388a,TULA BAGAN.,1.3,A,101077,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,391.521,8.2,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.36864522,92.0800515,interpolate
N1,391.664,Slab Culvert,LRP388b,PARARHORA CULVERT,1.3,B,101078,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,391.664,8.2,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.36759924,92.08046867,interpolate
N1,391.997,RCC Girder Bridge,LRP388c,TULA BAGUN,7.1,C,112553,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,391.997,4,1951,2,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.3649268,92.08136173,interpolate
N1,392.093,Slab Culvert,LRP388d,TULA BAGAN,1.3,B,101079,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,392.093,8.2,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.36410023,92.08133161,interpolate
