road,linkNo,name,start_lrp,start_offset,start_chainage,end_lrp,end_offset,end_chainage,length,heavyTruck,mediumTruck,smallTruck,largeBus,mediumBus,microBus,utility,car,autoRickshaw,motorcycle,bicycle,cycleRickshaw,cart,totalMotorized,totalNonMotorized,total
Z2047,Z2047-1,Pachdona-Shakerchar(int.with Z2038),LRPS,0.0,0.0,LRP001,667.0,1.649,1.649,0.0,271.0,103.0,0.0,33.0,66.0,5.0,45.0,3190.0,493.0,504.0,624.0,0.0,4206.0,1128.0,5334.0
Z2047,Z2047-2,Shakerchar(int.with Z2038)-Ghorashal,LRP001,667.0,1.649,LRPE,0.0,16.022,14.373,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Z2049,Z2049-1,Monohardi South(int.with R211)-Int.with R211,LRPS,0.0,0.0,LRP004,237.0,4.447,4.447,0.0,61.0,43.0,3.0,55.0,29.0,37.0,23.0,1894.0,1277.0,539.0,204.0,0.0,3422.0,743.0,4165.0
Z2055,Z2055-1,Narsindi (Darinabipur)-Alokbali,LRPS,0.0,0.0,LRPE,0.0,16.521,16.521,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Z2115,Z2115-1,Hetemdi-Shakerbazar,LRPS,0.0,0.0,LRP003,1157.0,4.172,4.172,0.0,13.0,0.0,0.0,0.0,1.0,0.0,3.0,453.0,348.0,250.0,181.0,3.0,818.0,434.0,1252.0
Z2121,Z2121-1,Puradia-Belabo,LRPS,0.0,0.0,LRP008,819.0,8.007,8.007,0.0,29.0,109.0,0.0,0.0,31.0,22.0,23.0,1267.0,784.0,764.0,999.0,0.0,2265.0,1763.0,4028.0
Z2122,Z2122-1,Nayakandi-Chalakchor(int.with R211),LRPS,0.0,0.0,LRPS,5617.0,5.617,5.617,0.0,28.0,31.0,0.0,0.0,12.0,12.0,21.0,533.0,374.0,879.0,314.0,20.0,1011.0,1213.0,2224.0
Z2122,Z2122-2,Chalakchor(int.with R211)-Shakerbazar,LRPS,5617.0,5.617,LRPS,10551.0,10.551,4.934,0.0,28.0,31.0,0.0,0.0,12.0,12.0,21.0,533.0,374.0,879.0,314.0,20.0,1011.0,1213.0,2224.0
Z2123,Z2123-1,Kachikata-Barachapa,LRPS,0.0,0.0,LRP004,3323.0,7.415,7.415,0.0,45.0,20.0,0.0,1.0,41.0,10.0,11.0,760.0,876.0,1163.0,266.0,15.0,1764.0,1444.0,3208.0
Z2403,Z2403-1,Habiganj-Baniyachang (int.with Z2405),LRPS,0.0,0.0,LRPS,16660.0,16.66,16.66,0.0,205.0,296.0,4.0,48.0,266.0,9.0,34.0,1933.0,475.0,190.0,526.0,0.0,3270.0,716.0,3986.0
Z2403,Z2403-2,Baniyachang (int.with Z2405)-Sullah,LRPS,16660.0,16.66,LRPS,20165.0,20.165,3.505,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Z2405,Z2405-1,Baniyachang-Nabiganj,LRPS,0.0,0.0,LRP015,1416.0,16.758,16.758,0.0,12.0,17.0,0.0,47.0,10.0,9.0,8.0,178.0,124.0,58.0,110.0,11.0,405.0,179.0,584.0
Z2801,Z2801-1,Sylhet(Osmani Biman Bandar Bypass)-Companiganj (int.with Z2810),LRPS,0.0,0.0,LRP012,10790.0,22.58,22.58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Z2801,Z2801-2,Companiganj (int.with Z2810)-Bholaganj,LRP012,10790.0,22.58,LRPE,0.0,30.398,7.818,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Z2802,Z2802-1,Gobindaganj-Chhatak(int.with Z2802),LRPS,0.0,0.0,LRP012,295.0,12.35,12.35,0.0,226.0,164.0,64.0,141.0,130.0,13.0,94.0,2743.0,149.0,57.0,51.0,0.0,3724.0,108.0,3832.0
Z2802,Z2802-2,Chhatak(int.with Z2802)-Dawrabazar,LRP012,295.0,12.35,LRPE,0.0,25.83,13.48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Z2804,Z2804-1,Radanagar-Kanchirgati (int.with Z2813),LRPS,0.0,0.0,LRP013,234.0,13.234,13.234,0.0,226.0,164.0,64.0,141.0,130.0,13.0,94.0,2743.0,149.0,57.0,51.0,0.0,3724.0,108.0,3832.0
Z2804,Z2804-2,Kanchirgati (int.with Z2813)-Bisahmbarpur,LRP013,234.0,13.234,LRPE,0.0,16.14,2.906,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
