,road,LRPName,condition,chainage,nrLanes,heavyTruck,mediumTruck,smallTruck,largeBus,mediumBus,microBus,utility,car,autoRickshaw,motorcycle,bicycle,cycleRickshaw,cart,totalMotorized,totalNonMotorized,total
79,N1,LRP094a,C,93.6,6.0,2.847222222222222,52.4212962962963,7.490740740740741,12.324074074074074,2.907407407407408,4.805555555555555,2.4953703703703702,7.208333333333333,13.152777777777779,3.490740740740741,0.6296296296296297,1.3287037037037037,0.0,109.14351851851852,1.9583333333333333,111.10185185185185
80,N1,LRP098a,A,97.257,6.0,2.847222222222222,52.4212962962963,7.490740740740741,12.324074074074074,2.907407407407408,4.805555555555555,2.4953703703703702,7.208333333333333,13.152777777777779,3.490740740740741,0.6296296296296297,1.3287037037037037,0.0,109.14351851851852,1.9583333333333333,111.10185185185185
81,N1,LRP101a,A,100.938,6.0,2.847222222222222,52.4212962962963,7.490740740740741,12.324074074074074,2.907407407407408,4.805555555555555,2.4953703703703702,7.208333333333333,13.152777777777779,3.490740740740741,0.6296296296296297,1.3287037037037037,0.0,109.14351851851852,1.9583333333333333,111.10185185185185
82,N1,LRP104a,C,103.456,6.0,2.847222222222222,52.4212962962963,7.490740740740741,12.324074074074074,2.907407407407408,4.805555555555555,2.4953703703703702,7.208333333333333,13.152777777777779,3.490740740740741,0.6296296296296297,1.3287037037037037,0.0,109.14351851851852,1.9583333333333333,111.10185185185185
83,N1,LRP105a,A,104.753,6.0,2.847222222222222,52.4212962962963,7.490740740740741,12.324074074074074,2.907407407407408,4.805555555555555,2.4953703703703702,7.208333333333333,13.152777777777779,3.490740740740741,0.6296296296296297,1.3287037037037037,0.0,109.14351851851852,1.9583333333333333,111.10185185185185
84,N1,LRP107a,A,106.519,6.0,2.847222222222222,52.4212962962963,7.490740740740741,12.324074074074074,2.907407407407408,4.805555555555555,2.4953703703703702,7.208333333333333,13.152777777777779,3.490740740740741,0.6296296296296297,1.3287037037037037,0.0,109.14351851851852,1.9583333333333333,111.10185185185185
85,N1,LRP109a,A,108.125,6.0,2.847222222222222,52.4212962962963,7.490740740740741,12.324074074074074,2.907407407407408,4.805555555555555,2.4953703703703702,7.208333333333333,13.152777777777779,3.490740740740741,0.6296296296296297,1.3287037037037037,0.0,109.14351851851852,1.9583333333333333,111.10185185185185
86,N1,LRP110a,B,109.289,6.0,2.847222222222222,52.4212962962963,7.490740740740741,12.324074074074074,2.907407407407408,4.805555555555555,2.4953703703703702,7.208333333333333,13.152777777777779,3.490740740740741,0.6296296296296297,1.3287037037037037,0.0,109.14351851851852,1.9583333333333333,111.10185185185185
87,N1,LRP110c,B,109.897,6.0,2.847222222222222,52.4212962962963,7.490740740740741,12.324074074074074,2.907407407407408,4.805555555555555,2.4953703703703702,7.208333333333333,13.152777777777779,3.490740740740741,0.6296296296296297,1.3287037037037037,0.0,109.14351851851852,1.9583333333333333,111.10185185185185
88,N1,LRP111a,A,110.551,6.0,2.847222222222222,52.4212962962963,7.490740740740741,12.324074074074074,2.907407407407408,4.805555555555555,2.4953703703703702,7.208333333333333,13.152777777777779,3.490740740740741,0.6296296296296297,1.3287037037037037,0.0,109.14351851851852,1.9583333333333333,111.10185185185185
89,N1,LRP112a,A,111.509,6.0,2.847222222222222,52.4212962962963,7.490740740740741,12.324074074074074,2.907407407407408,4.805555555555555,2.4953703703703702,7.208333333333333,13.152777777777779,3.490740740740741,0.6296296296296297,1.3287037037037037,0.0,109.14351851851852,1.9583333333333333,111.10185185185185
90,N1,LRP113a,B,112.469,6.0,2.847222222222222,52.4212962962963,7.490740740740741,12.324074074074074,2.907407407407408,4.805555555555555,2.4953703703703702,7.208333333333333,13.152777777777779,3.490740740740741,0.6296296296296297,1.3287037037037037,0.0,109.14351851851852,1.9583333333333333,111.10185185185185
91,N1,LRP114a,B,113.717,6.0,2.847222222222222,52.4212962962963,7.490740740740741,12.324074074074074,2.907407407407408,4.805555555555555,2.4953703703703702,7.208333333333333,13.152777777777779,3.490740740740741,0.6296296296296297,1.3287037037037037,0.0,109.14351851851852,1.9583333333333333,111.10185185185185
